crn, instructorFirstName, instructorLastName
76125,C,Baker
76126,C,Baker
75553,K,Duitsman
75554,K,Duitsman
75556,A,Leman
75558,A,Leman
73502,,
31288,D,Parrett
31293,D,Parrett
31298,D,Parrett
31294,D,Parrett
31296,D,Parrett
72384,D,Parrett
31300,D,Parrett
74662,D,Parrett
29835,J,Emmert
40336,C,Allen
10232,,
72084,J,Emmert
75951,J,Emmert
75960,J,Emmert
75952,J,Emmert
75953,J,Emmert
75954,J,Emmert
75955,J,Emmert
75956,J,Emmert
75957,J,Emmert
75958,J,Emmert
75959,J,Emmert
29863,K,Kline
51564,A,Fischer-Brown
51565,A,Fischer-Brown
56248,A,Fischer-Brown
56258,A,Fischer-Brown
71999,A,Fischer-Brown
72000,A,Fischer-Brown
72001,A,Fischer-Brown
29867,A,Fischer-Brown
75440,B,Harsh
75443,B,Harsh
76034,B,Harsh
75439,B,Harsh
75816,B,Klehm
75817,L,Rincker
59996,B,Harsh
75026,A,Kukekova
75027,A,Kukekova
55435,,
75043,A,Antonson
75042,A,Antonson
55434,A,Antonson
53235,S,Richardson
73939,S,Richardson
70556,A,Steelman
74441,D,Shike
74625,D,Shike
74626,D,Shike
73798,D,Hagstrom
29886,K,Jones-Hamlow
72003,S,Richardson
72004,S,Richardson
29860,S,Richardson
62773,A,Fischer-Brown
65393,A,Dilger
29869,B,Klehm
29872,L,Rincker
29877,D,Hagstrom
29880,D,Nolan
59983,J,McCann
29884,J,Ridlon
74790,I,Condotta
60742,M,Dean
60743,J,McCann
60744,D,Shike
60745,A,Fischer-Brown
60746,A,Fischer-Brown
60747,R,Dilger
60748,A,Fischer-Brown
60749,S,Richardson
60800,A,Fischer-Brown
70588,M,Baldes
66080,M,Wheeler
39811,F,Cardoso
29887,D,Parrett
29891,J,Drackley
72528,K,Swanson
69960,K,Swanson
70243,M,Cattai de Godoy
76193,M,Cattai de Godoy
40958,R,Nowak
34101,A,Lipka
34033,A,Lipka
34050,A,Lipka
34068,A,Lipka
55893,A,Lipka
67021,S,Rodriguez Zas
29889,A,Dilger
61674,F,Cardoso
59523,A,Schneider
10254,,
48361,D,Nolan
48340,M,Cattai de Godoy
60581,F,Cardoso
29894,R,Dilger
29895,C,Parsons
34605,M,Prescott
34607,K,Chapman-Novakofski
71226,A,Dilger
46818,H,Dokoohaki
46819,H,Dokoohaki
46812,H,Dokoohaki
70623,,
70625,,
36763,K,Koelkebeck
43993,K,Koelkebeck
43994,K,Koelkebeck
36765,K,Koelkebeck
43995,K,Koelkebeck
43996,K,Koelkebeck
36766,A,Dilger
43997,A,Dilger
43998,A,Dilger
36767,D,Shike
43999,D,Shike
36769,H,Qiao
44001,H,Qiao
44002,H,Qiao
36774,R,Mackie
44005,R,Mackie
44006,R,Mackie
44007,D,McKim
36777,M,Wheeler
44011,M,Wheeler
44012,M,Wheeler
69939,M,Cattai de Godoy
