courseDept,courseNum,id,type
ATMS,301,0,PREREQ
ATMS,301,1,PREREQ
ATMS,301,2,PREREQ
ATMS,302,0,PREREQ
ATMS,302,1,PREREQ
ATMS,302,2,PREREQ
ATMS,304,0,PREREQ
ATMS,304,1,PREREQ
ATMS,305,0,PREREQ
ATMS,306,0,PREREQ
ATMS,307,0,PREREQ
ATMS,312,0,PREREQ
ATMS,312,1,PREREQ
ATMS,313,0,PREREQ
ATMS,313,1,PREREQ
ATMS,314,0,PREREQ
ATMS,314,1,PREREQ
ATMS,314,2,PREREQ
ATMS,315,0,PREREQ
ATMS,324,0,PREREQ
ATMS,391,0,PREREQ
ATMS,404,0,PREREQ
ATMS,405,0,PREREQ
ATMS,405,1,PREREQ
ATMS,405,2,PREREQ
ATMS,405,3,PREREQ
ATMS,406,0,PREREQ
ATMS,406,1,PREREQ
ATMS,406,2,PREREQ
ATMS,411,0,PREREQ
ATMS,411,1,PREREQ
ATMS,420,0,PREREQ
ATMS,420,1,PREREQ
ATMS,420,2,PREREQ
ATMS,502,0,PREREQ
ATMS,510,0,PREREQ
ATMS,511,0,PREREQ
ATMS,512,0,PREREQ
ATMS,514,0,PREREQ
ATMS,514,1,PREREQ
ATMS,514,2,PREREQ
BADM,211,0,PREREQ
BADM,311,0,PREREQ
BADM,312,0,PREREQ
BADM,313,0,PREREQ
BADM,321,0,PREREQ
BADM,322,0,PREREQ
BADM,323,0,PREREQ
BADM,324,0,COREQ
BADM,325,0,PREREQ
BADM,326,0,PREREQ
BADM,327,0,PREREQ
BADM,329,0,PREREQ
BADM,330,0,PREREQ
BADM,336,0,PREREQ
BADM,354,0,PREREQ
BADM,355,0,PREREQ
BADM,374,0,PREREQ
BADM,376,0,PREREQ
BADM,382,0,PREREQ
BADM,383,0,PREREQ
BADM,420,0,PREREQ
BADM,451,0,PREREQ
BADM,454,0,PREREQ
BADM,458,0,PREREQ
BADM,460,0,PREREQ
BADM,461,0,PREREQ
BADM,461,1,PREREQ
BADM,461,2,PREREQ
BADM,514,0,PREREQ
BASQ,402,0,PREREQ
BCS,302,0,PREREQ
BIOC,460,0,PREREQ
BIOC,460,1,PREREQ
BIOC,492,0,PREREQ
BIOC,492,1,PREREQ
BIOE,200,0,PREREQ
BIOE,201,0,PREREQ
BIOE,201,1,PREREQ
BIOE,201,2,PREREQ
BIOE,206,0,PREREQ
BIOE,210,0,PREREQ
BIOE,210,1,PREREQ
BIOE,220,0,PREREQ
BIOE,220,1,PREREQ
BIOE,220,2,PREREQ
BIOE,220,3,PREREQ
BIOE,220,4,PREREQ
BIOE,302,0,PREREQ
BIOE,302,1,PREREQ
BIOE,302,2,PREREQ
BIOE,302,3,PREREQ
BIOE,302,4,PREREQ
BIOE,306,0,PREREQ
BIOE,360,0,PREREQ
BIOE,360,1,PREREQ
BIOE,414,0,PREREQ
BIOE,415,0,COREQ
BIOE,420,0,PREREQ
BIOE,420,1,PREREQ
BIOE,420,2,PREREQ
BIOE,420,3,PREREQ
BIOE,430,0,PREREQ
BIOE,435,0,PREREQ
BIOE,435,1,PREREQ
BIOE,435,2,PREREQ
BIOE,435,3,PREREQ
BIOE,436,0,PREREQ
BIOE,460,0,PREREQ
BIOE,460,1,PREREQ
BIOE,476,0,PREREQ
BIOE,476,1,PREREQ
BIOE,479,0,PREREQ
BIOE,479,1,PREREQ
BIOE,483,0,PREREQ
BIOE,483,1,PREREQ
BIOE,483,2,PREREQ
BIOE,483,3,PREREQ
BIOE,486,0,PREREQ
BIOE,486,1,PREREQ
BIOE,486,2,PREREQ
BIOE,486,3,PREREQ
BIOE,486,4,PREREQ
BIOE,486,5,PREREQ
BIOE,486,6,PREREQ
BIOE,486,7,PREREQ
BIOE,486,8,PREREQ
BIOE,486,9,PREREQ
BIOE,487,0,PREREQ
BIOE,504,0,PREREQ
BIOE,505,0,PREREQ
BIOE,506,0,PREREQ
BIOE,507,0,PREREQ
BIOE,510,0,PREREQ
BIOE,510,1,PREREQ
BIOE,510,2,PREREQ
BIOE,532,0,PREREQ
BIOE,572,0,PREREQ
BIOE,581,0,PREREQ
BIOE,586,0,PREREQ
BIOE,586,1,PREREQ
BIOE,586,2,PREREQ
BIOE,586,3,PREREQ
BUS,201,0,PREREQ
BUS,302,0,PREREQ
CB,514,0,COREQ
CB,646,0,PREREQ
CDB,595,0,PREREQ
CEE,201,0,PREREQ
CEE,201,0,COREQ
CEE,202,0,COREQ
CEE,300,0,PREREQ
CEE,300,1,PREREQ
CEE,310,0,PREREQ
CEE,310,0,COREQ
CEE,320,0,PREREQ
CEE,320,0,COREQ
CEE,320,1,COREQ
CEE,330,0,PREREQ
CEE,340,0,PREREQ
CEE,340,1,PREREQ
