courseDept,courseNum,GPA,title
ARTH,312,3.56,Central African Art
ARTH,313,3.37,Modern and Contemp African Art
ARTH,344,3.03,Spanish Modern Art
ARTH,350,3.07,American Art 1750-1900
ARTH,351,3.35,Early American Modernism
ARTH,360,3.14,Women and the Visual Arts
ARTH,395,3.31,Junior Seminar in Art History
ARTH,402,3.27,Ways of Seeing in Edo Japan
ARTH,403,3.25,Word and Image in Chinese Art
ARTH,413,3.51,Sacred African Diaspora Arts
ARTH,433,3.19,Fifteenth-Century Italian Art
ARTH,435,3.63,Italian Baroque Art
ARTH,436,3.14,17th-Century Dutch & Flemish Art
ARTH,445,3.78,European Art Between the Wars
ARTH,495,3.39,Senior Seminar in Art History
ARTS,250,3.56,Life Drawing
ARTS,251,3.61,Beginning Painting
ARTS,280,3.46,Beginning Sculpture
ARTS,299,3.92,Spec Topics in Studio Art
ARTS,350,3.38,Intermediate Studio I
ARTS,351,3.51,Intermediate Studio II
ARTS,450,3.38,Advanced Studio I
ARTS,451,3.61,Advanced Studio II
ARTS,499,3.71,Special Topics in Studio Art
ASRM,199,3.71,Undergraduate Open Seminar
ASRM,210,3.11,Theory of Interest
ASRM,406,3.37,Linear Algebra with Financial Applications
ASRM,409,3.59,Stochastic Processes for Finance and Insurance
ASRM,410,3.25,Investments and Financial Markets
ASRM,461,3.46,Loss Models
ASRM,469,2.82,Casualty Actuarial Mathematics
ASRM,471,3.3,Life Contingencies I
ASRM,472,3.23,Life Contingencies II
ASRM,510,3.62,Financial Mathematics
ASRM,552,3.46,Predictive Analytics
ASTR,100,3.24,Introduction to Astronomy
ASTR,121,3.04,Solar System and Worlds Beyond
ASTR,122,3.25,Stars and Galaxies
ASTR,150,3.46,Killer Skies: Astro-Disasters
ASTR,210,3.13,Introduction to Astrophysics
ASTR,310,3.07,Computing in Astronomy
ASTR,330,3.62,Extraterrestrial Life
ASTR,350,3.39,"The Big Bang, Black Holes, and the End of the Universe"
ASTR,404,3.13,Stellar Astrophysics
ASTR,405,3.12,Planetary Systems
ASTR,406,3.17,Galaxies and the Universe
ASTR,414,3.19,Astronomical Techniques
ASTR,496,3.69,Seminar in Astronomy
ASTR,507,3.82,Physical Cosmology
ATMS,100,3.38,Introduction to Meteorology
ATMS,120,3.72,Severe and Hazardous Weather
ATMS,140,3.36,Climate and Global Change
ATMS,201,3.77,General Physical Meteorology
ATMS,301,3.2,Atmospheric Thermodynamics
